SOFTWARE,LINK,TYPE,SUBTYPE,DESC
MySQL,http://lists.mysql.com/mysql/175978,ERROR,DIAGNOSING ERRORS,MySQL 4.0.2 is topping out at 1024 threads!
MySQL,http://serverfault.com/questions/300553/mysql-innodb-table-size-performance,OTHER,PRACTICES,mysql innodb table size performance
MySQL,http://serverfault.com/questions/551803/my-cnf-for-big-wordpress-installation,OTHER,PRACTICES,my cnf for big wordpress installation
MySQL,http://serverfault.com/questions/199003/recommend-a-good-guide-for-mysql-optimization,OTHER,PRACTICES,recommend a good guide for mysql optimization
MySQL,http://serverfault.com/questions/419299/run-mysql-server-self-contained-and-as-a-user,OTHER,PRACTICES,run mysql server self contained and as a user
MySQL,http://lists.mysql.com/mysql/415,OTHER,PRACTICES,configuration question
MySQL,http://serverfault.com/questions/3120/how-do-i-profile-mysql,OTHER,PRACTICES,how do i profile mysql
MySQL,http://serverfault.com/questions/144206/mysql-config-on-large-machine,OTHER,PRACTICES,mysql config on large machine
MySQL,http://serverfault.com/questions/320827/how-to-prevent-innodb-log-files-from-getting-corrupted,OTHER,PRACTICES,how to prevent innodb log files from getting corrupted
MySQL,http://serverfault.com/questions/176936/mysql-replicate-structure-only,OTHER,PRACTICES,mysql replicate structure only
MySQL,http://lists.mysql.com/mysql/144776,OTHER,PRACTICES,Faster reindexing
MySQL,http://lists.mysql.com/mysql/69390,OTHER,LEARNING/TRAINING,autocommit == innobase_flush_log_at_trx_commit ?
MySQL,http://serverfault.com/questions/415884/files-in-mysql-data-folder,OTHER,LEARNING/TRAINING,files in mysql data folder
MySQL,http://lists.mysql.com/mysql/118708,OTHER,LEARNING/TRAINING,changing a slave to a master in mysql replication
MySQL,http://serverfault.com/questions/316938/mysql-max-allowed-packet-greater-than-1-gb-is-it-possible,OTHER,LEARNING/TRAINING,mysql max allowed packet greater than 1 gb is it possible
MySQL,http://serverfault.com/questions/311179/mysql-binary-logs-more-than-15-gb,OTHER,LEARNING/TRAINING,mysql binary logs more than 15 gb
MySQL,http://serverfault.com/questions/169632/how-does-mysql-expires-the-cache,OTHER,LEARNING/TRAINING,how does mysql expires the cache
MySQL,http://serverfault.com/questions/538164/mysql-max-connections-in-shared-hosting-environment,OTHER,LEARNING/TRAINING,mysql max connections in shared hosting environment
